date,rank_ic,n_symbols
2025-04-03,0.02193998,963
2025-04-07,0.20502798,963
2025-04-08,0.34405211,963
2025-04-09,0.24018494,963
2025-04-10,0.12465675,963
2025-04-11,0.08697381,963
2025-04-14,0.04352273,964
2025-04-15,0.07463484,965
2025-04-16,0.06523818,967
2025-04-17,0.14599820,967
2025-04-18,0.08008314,966
2025-04-21,0.05102536,967
2025-04-22,0.07974829,967
2025-04-23,0.09757386,969
2025-04-24,0.05994186,969
2025-04-25,0.06597091,969
2025-04-28,0.01972660,970
2025-04-29,0.00756765,970
2025-04-30,0.04399817,969
2025-05-06,0.04679289,968
2025-05-07,0.10804096,969
2025-05-08,0.10895113,969
2025-05-09,0.07789380,969
2025-05-12,0.12689488,969
2025-05-13,0.14221089,969
2025-05-14,0.10536007,969
2025-05-15,0.11555071,969
2025-05-16,0.09304002,969
2025-05-19,0.11420934,969
2025-05-20,0.05354359,970
2025-05-21,0.07876672,969
2025-05-22,0.11150467,968
2025-05-23,0.06834603,968
2025-05-26,0.06095781,968
2025-05-27,0.13679536,969
2025-05-28,0.16914955,969
2025-05-29,0.12962373,970
2025-05-30,0.06457672,970
2025-06-03,0.05906459,970
2025-06-04,0.13460458,970
2025-06-05,0.13601148,972
2025-06-06,0.06835274,972
2025-06-09,0.10945643,972
2025-06-10,0.03331248,974
2025-06-11,0.02618191,974
2025-06-12,0.09404995,974
2025-06-13,0.08374203,974
2025-06-16,0.05821152,974
2025-06-17,-0.00881122,975
2025-06-18,0.01934245,975
2025-06-19,0.03418625,975
2025-06-20,-0.01158367,975
2025-06-23,-0.00561701,975
2025-06-24,-0.00980191,975
2025-06-25,0.06283969,975
2025-06-26,0.00471284,975
2025-06-27,-0.03275444,976
2025-06-30,0.01786582,976
2025-07-01,0.00492145,976
2025-07-02,-0.01620246,976
2025-07-03,-0.04414114,976
2025-07-04,-0.07814724,976
2025-07-07,-0.08161280,976
2025-07-08,-0.09776747,977
2025-07-09,-0.13419977,977
2025-07-10,-0.18075527,977
2025-07-11,-0.09686381,977
2025-07-14,-0.09735737,976
2025-07-15,-0.06065257,977
2025-07-16,-0.00393126,977
2025-07-17,-0.00806902,977
2025-07-18,-0.08478812,977
2025-07-21,-0.18194457,978
2025-07-22,-0.29839291,976
2025-07-23,-0.22074969,976
2025-07-24,-0.17700533,976
2025-07-25,-0.22770605,978
2025-07-28,-0.17763456,979
2025-07-29,-0.12160381,980
2025-07-30,-0.17498901,980
2025-07-31,-0.16698497,980
2025-08-01,-0.10278280,980
2025-08-04,-0.09738187,980
2025-08-05,-0.03554531,980
2025-08-06,-0.04354395,980
2025-08-07,0.02693074,980
2025-08-08,-0.04376354,980
2025-08-11,-0.03512900,980
2025-08-12,0.05142257,980
2025-08-13,0.09450158,980
2025-08-14,0.05708004,980
2025-08-15,0.03747811,980
2025-08-18,0.08981780,980
2025-08-19,0.05284553,980
2025-08-20,0.03279010,980
2025-08-21,-0.03742988,980
2025-08-22,-0.02040494,980
2025-08-25,-0.01674741,979
2025-08-26,-0.03984387,979
2025-08-27,0.00364464,979
2025-08-28,0.01738816,979
2025-08-29,0.04174858,978
2025-09-01,0.10946927,978
2025-09-02,0.00930674,978
2025-09-03,0.04479395,980
2025-09-04,0.08037234,980
2025-09-05,0.08048336,980
2025-09-08,0.04824895,981
2025-09-09,0.06977765,981
2025-09-10,0.08644597,981
2025-09-11,0.03705602,980
2025-09-12,-0.00908708,982
2025-09-15,-0.00348843,982
2025-09-16,0.03150375,982
2025-09-17,0.07197762,981
2025-09-18,0.13159238,981
2025-09-19,0.10165386,981
2025-09-22,0.09698325,981
2025-09-23,0.08210098,981
2025-09-24,0.07186057,981
2025-09-25,0.12496036,982
2025-09-26,0.16044149,982
2025-09-29,0.05117745,983
2025-09-30,0.01868979,984
2025-10-09,0.04956401,984
2025-10-10,0.08213738,984
2025-10-13,0.09717132,985
2025-10-14,0.05785012,985
2025-10-15,-0.03508911,985
2025-10-16,-0.02324195,985
2025-10-17,0.00999971,986
2025-10-20,-0.07747306,986
2025-10-21,-0.04154662,985
2025-10-22,-0.02143131,985
2025-10-23,-0.04685541,985
2025-10-24,-0.10240093,986
2025-10-27,-0.11586942,984
2025-10-28,-0.09878312,984
2025-10-29,-0.07615934,984
2025-10-30,-0.03126054,984
2025-10-31,-0.04269888,984
2025-11-03,0.05149536,986
2025-11-04,0.05236849,986
2025-11-05,0.01397316,986
2025-11-06,0.01125392,986
2025-11-07,0.04288311,986
2025-11-10,-0.00494559,987
2025-11-11,-0.01538800,987
2025-11-12,-0.02318109,987
2025-11-13,0.01524376,987
2025-11-14,0.05647941,987
2025-11-17,0.06252207,987
2025-11-18,0.04311994,987
2025-11-19,0.09982859,987
2025-11-20,0.10539984,985
2025-11-21,0.07743639,985
2025-11-24,0.14809346,985
2025-11-25,0.11779426,985
2025-11-26,0.16814886,985
2025-11-27,0.14526803,985
2025-11-28,0.15990437,985
2025-12-01,0.11942247,984
2025-12-02,-0.04235464,982
2025-12-03,-0.14429562,982
